FID	X	Y	GMT date_H	GMT date	Y	M	D	H	DOP	IDbear	IDsquare_025ha	IDsquare_100ha	IDsquare_900ha
1092984	1431731.11	6820158.75	2012-05-06 01:00	2012-05-06	2012	5	6	1	2,8	W1203	16433	4076	454
1092985	1431728.66	6820155.91	2012-05-06 02:00	2012-05-06	2012	5	6	2	2,4	W1203	16433	4076	454
1092986	1431733.95	6820145.91	2012-05-06 03:00	2012-05-06	2012	5	6	3	4,8	W1203	16433	4076	454
1092987	1431727.99	6820147.54	2012-05-06 04:00	2012-05-06	2012	5	6	4	2,8	W1203	16433	4076	454
1092988	1431727.81	6820158.62	2012-05-06 05:00	2012-05-06	2012	5	6	5	5,6	W1203	16433	4076	454
1092989	1431724.59	6820149.62	2012-05-06 06:00	2012-05-06	2012	5	6	6	4	W1203	16433	4076	454
1092990	1431722.09	6820148.12	2012-05-06 07:00	2012-05-06	2012	5	6	7	3,6	W1203	16433	4076	454
1092991	1431731.4	6820147.55	2012-05-06 08:00	2012-05-06	2012	5	6	8	4,2	W1203	16433	4076	454
1092992	1431733.13	6820157.68	2012-05-06 09:00	2012-05-06	2012	5	6	9	2,4	W1203	16433	4076	454
1092993	1431729.3	6820159.6	2012-05-06 10:00	2012-05-06	2012	5	6	10	2,8	W1203	16433	4076	454
1092994	1431729.93	6820156.8	2012-05-06 11:00	2012-05-06	2012	5	6	11	2,6	W1203	16433	4076	454
1092995	1431756.55	6820135.69	2012-05-06 12:00	2012-05-06	2012	5	6	12	2,4	W1203	16433	4076	454
1092996	1431711.76	6820113.42	2012-05-06 13:00	2012-05-06	2012	5	6	13	2,8	W1203	16433	4076	454
1092997	1431709.83	6820113.89	2012-05-06 14:00	2012-05-06	2012	5	6	14	4,4	W1203	16433	4076	454
1092998	1431488.03	6819836.85	2012-05-06 15:00	2012-05-06	2012	5	6	15	3,2	W1203	16433	4076	454
1092999	1431409.99	6819623.21	2012-05-06 16:00	2012-05-06	2012	5	6	16	3,6	W1203	16230	4075	454
1093000	1431415.36	6819626.28	2012-05-06 17:00	2012-05-06	2012	5	6	17	2,6	W1203	16230	4075	454
